"","Screen_bg","ConsentKey.keys","ConsentKey.rt","Begin.keys","Begin.rt","checkresp.keys","checkresp.corr","checkresp.rt","Attention.thisRepN","Attention.thisTrialN","Attention.thisN","Attention.thisIndex","Attention.ran","AttnQuestion","AttnAnswer","participant","PROLIFIC_ID","Age","Gender","Handedness","Native Language","date","expName","psychopyVersion","OS","frameRate","browser","xResolution","yResolution","NextStep.keys","NextStep.rt","InstRep.thisRepN","InstRep.thisTrialN","InstRep.thisN","InstRep.thisIndex","InstRep.ran","PracProceed.keys","PracProceed.rt","SalientLetterPos","NonSalientLetterPos","DisResp.keys","DisResp.corr","Target","TargetResp_p.keys","TargetResp_p.corr","TargetResp_p.rt","Prac_loop.thisRepN","Prac_loop.thisTrialN","Prac_loop.thisN","Prac_loop.thisIndex","Prac_loop.ran","Block","SalD","NSalD","Condition","Saliency","CorrectAnswer","Validity","Exp_proceed.keys","Exp_proceed.rt","PracRepeat.thisRepN","PracRepeat.thisTrialN","PracRepeat.thisN","PracRepeat.thisIndex","PracRepeat.ran","TargetResp.keys","TargetResp.corr","TargetResp.rt","headstartLearn.thisRepN","headstartLearn.thisTrialN","headstartLearn.thisN","headstartLearn.thisIndex","headstartLearn.ran","brkContinue.keys","PauseResp.keys","ExpTrials.thisRepN","ExpTrials.thisTrialN","ExpTrials.thisN","ExpTrials.thisIndex","ExpTrials.ran","brkContinue.rt","PauseResp.rt","CA_Proceed.keys","CA_Proceed.rt","Resp1_2.keys","CAResponse_2.keys","CAResponse_2.corr","CAResponse_2.rt","CA_trials.thisRepN","CA_trials.thisTrialN","CA_trials.thisN","CA_trials.thisIndex","CA_trials.ran","AwareResp.keys","AwareResp.corr","AwareResp.rt","AwareQ_loop.thisRepN","AwareQ_loop.thisTrialN","AwareQ_loop.thisN","AwareQ_loop.thisIndex","AwareQ_loop.ran","AwareQ","Solution","Performance","Bonus","todebrief.keys","todebrief.rt","Finalend.keys","Finalend.rt"
"1","white","j",2.88506,"space",2.24882,"e",0,2.219265,0,0,0,3,1,"What key should you press if you see ""8""?","u",6,NA,22,"female","right","German","2021-05-19_13h13.41.818","Exp8","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,"u",0,1.86255,0,1,1,0,1,"What key should you press if the number is odd?","e",6,NA,22,"female","right","German","2021-05-19_13h13.41.818","Exp8","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,"u",0,1.519185,0,2,2,2,1,"What key should you press if you see ""5""?","e",6,NA,22,"female","right","German","2021-05-19_13h13.41.818","Exp8","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,"e",0,1.262965,0,3,3,1,1,"What key should you press if the number is even?","u",6,NA,22,"female","right","German","2021-05-19_13h13.41.818","Exp8","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,22,"female","right","German","2021-05-19_13h13.41.818","Exp8","2020.1.3","Win32",60,"Chrome",1280,720,"space",0.91852,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,"space",1.770865,"u",0,4.456835,0,0,0,2,1,"What key should you press if you see ""5""?","e",6,NA,22,"female","right","German","2021-05-19_13h13.41.818","Exp8","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,"u",0,1.756155,0,1,1,0,1,"What key should you press if the number is odd?","e",6,NA,22,"female","right","German","2021-05-19_13h13.41.818","Exp8","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,"e",0,1.066585,0,2,2,1,1,"What key should you press if the number is even?","u",6,NA,22,"female","right","German","2021-05-19_13h13.41.818","Exp8","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,"e",0,1.52127,0,3,3,3,1,"What key should you press if you see ""8""?","u",6,NA,22,"female","right","German","2021-05-19_13h13.41.818","Exp8","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,22,"female","right","German","2021-05-19_13h13.41.818","Exp8","2020.1.3","Win32",60,"Chrome",1280,720,"space",0.713495,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
